restaurant_name,borough,street,longitude,latitude
Tel Aviv Cafe,Brooklyn,CONEY ISLAND AVE,-73.962532,40.610876
Kiku Asian bistro,Brooklyn,5 ave,-73.979652,40.677581
The Capital Grille,Manhattan,East 42nd Street,-73.975407,40.751181
mcdonalds,Queens,myrtle ave,-73.910737,40.699583
Philly Pretzel Factory,Brooklyn,5th Ave,-73.978934,40.678651
The Clam,Manhattan,Hudson Street,-74.006808,40.730436
Speedy's Cafe,Manhattan,Broadway,-73.988465,40.748296
Obica Mozzarella Bar,Manhattan,Broadway,-73.989492,40.740166
Grab & Go Cafe,Brooklyn,60th Street,-74.016867,40.63991
bottino,Manhattan,10th ave,-74.003533,40.748554
Joanne Trattoria,Manhattan,West 68th Street,-73.979875,40.774512
Rab's Country Lanes,Staten Island,Hylan Boulevard,-74.089443,40.589514
burrito bar & kitchen,Brooklyn,Flatbush ave,-73.973429,40.678546
Chingoo restaurant,Brooklyn,Graham ave,-73.944595,40.715768
Il Bel Paese Pizzeria & Trattoria,Brooklyn,Knickerbocker Avenue,-73.923383,40.701684
FRIENDSHIP FOODS ONE INC,Manhattan,BOWERY,-73.995217,40.717659
GRILL MASTER 001 INC,Queens,39TH AVE UNIT 101,-73.83414,40.759106
Prince Laban&Chinese restaurent,Queens,74 street,-73.891596,40.74763
da gennaro,Manhattan,mulberry,-73.997836,40.718332
The Dip,Manhattan,St. Marks Pl.,-73.986654,40.728157
Caffe Aronne,Manhattan,Greenwich Avenue,-74.002226,40.738481
Qing Dao Restaurant,Queens,Main Street,-73.829611,40.758477
Kitsby Dessert Bar,Brooklyn,Grand Street,-73.96075,40.714271
SPIN,Manhattan,East 23rd Street,-73.987359,40.740599
Ultra spicy house,Queens,Kissena blvd,-73.822499,40.753649
GYRO KING,Bronx,EAST FORDHAM RD.,-73.90024,40.862447
Paper Rain,Brooklyn,Atlantic Ave,-73.891967,40.676305
GYRO KING,Bronx,EAST FORDHAM RD,-73.90024,40.862447
The Wilky,Brooklyn,Patchen Avenue,-73.927101,40.688059
Brooklyn chop house,Manhattan,nassau street,-74.006027,40.711541
THE SKYLARK,Brooklyn,5TH AVE,-73.987365,40.667882
Mee Noodle Shop,Manhattan,9th Avenue,-73.987697,40.76522
PETER'S GRILL & BAR CORP,Queens,ROCKAWAY BLVD,-73.865017,40.685851
Krolewskie Jadlo,Brooklyn,Manhattan Avenue,-73.951576,40.725175
35-09 Ditmars Bagel Corp,Queens,Ditmars Blvd,-73.908748,40.774763
Blendzville Cafe Inc,Brooklyn,Sutter ave,-73.922905,40.665274
KINGS' CARRIAGE HOUSE,Manhattan,EAST 82ND STREET,-73.954727,40.775765
Mad Tropical,Brooklyn,Troutman Street,-73.926873,40.702479
Gregorys Coffee,Manhattan,Broadway,-73.995631,40.726794
Le Pain Quotidien - Bryant Park,Manhattan,West 40th Street,-73.984379,40.753266
Le Pain Quotidien 83rd Street,Manhattan,First Avenue,-73.95093,40.774731
The Garret,Manhattan,Bleecker Street,-74.003724,40.732484
Bilao Filipino Cuisine,Manhattan,1st Ave,-73.954703,40.7696
Le Pain Quotidien 53rd street,Manhattan,E 53rd St,-73.975342,40.760222
Le Pain Quotidien Soho,Manhattan,Grand Street,-74.00171,40.721389
Le Pain Quotidien Tribeca,Manhattan,West Broadway,-74.009566,40.71509
Le Pain Quotidien GCW,Manhattan,East 44th St.,-73.979138,40.754434
Le Pain Quotidien Lincoln Sq,Manhattan,W 65th St,-73.980851,40.772468
Le Pain Quotidien First Ave and 68th,Manhattan,First Ave,-73.957694,40.765465
Quality Bistro,Manhattan,West 55th Street,-73.979001,40.763379
Healthy Joe's,Manhattan,Murray street,-74.007773,40.713298
Kurant,Manhattan,2nd Ave,-73.965058,40.759649
Smith & Wollensky,Manhattan,Third Avenue,-73.971106,40.755327
BICKLES TO GO,Bronx,COURTLANDT AVE,-73.917653,40.82075
MARIA ON THE GRILL INC,Brooklyn,PITKIN AVENUE,-73.873208,40.67521
Ample Hills Creamery,Brooklyn,Gold St,-73.983452,40.690833
Corporate Chef,Manhattan,56th Street,-73.976077,40.762962
LA PULPERIA 44,Manhattan,9TH AVE,-73.991626,40.759829
LA PULPERIA 44,Manhattan,9TH AVE,-73.991626,40.759829
Joe's Ginger,Manhattan,Pell Street,-73.998207,40.714851
FELIX ROASTING CO.,Manhattan,GREENE ST,-73.999867,40.724373
Shake Shack UWS,Manhattan,Columbus Ave.,-73.976266,40.780893
mekong restaurant,Brooklyn,dekalb ave,-73.96895,40.689458
POLLO CAMPERO,Queens,ROOSEVELT AVENUE,-73.862397,40.749894
MR.Q'S GOURMET INC,Brooklyn,8TH AVENUE,-74.008572,40.63646
O'Flanagan's Bar & Grill,Manhattan,Third Avenue,-73.950634,40.783424
Tito Rad's Grill,Queens,Queens Blvd.,-73.915631,40.742798
Curry leaves restaurants,Queens,40road,-73.830127,40.758873
Focaccia pizza,Brooklyn,Ave m,-73.961642,40.617825
Los Tacos Al Pastor,Brooklyn,Front Street,-73.987492,40.702461
Papa's Kitchen,Queens,83rd Street,-73.883313,40.749527
Love and Dough,Brooklyn,Pearl Street,-73.987582,40.703056
Love and Dough,Brooklyn,Pearl Street,-73.987582,40.703056
Archway Cafe,Brooklyn,Pearl Street,-73.987582,40.703056
HASANI,Brooklyn,PEARL STREET,-73.987582,40.703056
Mango Mango Desert,Brooklyn,86th Street,-73.997735,40.604286
Little Cheers Inc,Queens,Roosevelt Avenue,-73.907244,40.745371
TAK HING KITCHEN INC,Brooklyn,86TH STREET,-73.999363,40.605263
Zona Sur,Brooklyn,4th Avenue,-74.008653,40.650256
CAPITOL DINER,Manhattan,BROADWAY,-73.921597,40.867566
ASHOKA,Manhattan,Columbus Avenue,-73.97334,40.784875
Felice,Manhattan,Gold Street,-74.006918,40.707753
RedFarm,Manhattan,Broadway,-73.98092,40.782137
P&S Bakery and Restaurant,Brooklyn,Utica avenue,-73.930259,40.650721
Wayan,Manhattan,spring street,-73.99505,40.721441
Blue Collar,Brooklyn,Dekalb Ave,-73.920579,40.702925
Buffalo Wild Wings,Staten Island,Richmond Ave.,-74.158474,40.613298
OEC BUN & RAMEN,Manhattan,LEXINGTON AVE,-73.984414,40.739973
Rothschild TLV,Manhattan,Lexington Avenue,-73.959209,40.774512
SWEETGREEN,Manhattan,AMSTERDAM AVE,-73.980401,40.780284
Toms restaurant,Manhattan,Broadway,-73.965721,40.805497
SWEETGREEN,Manhattan,AMSTERDAM AVE,-73.980401,40.780284
SWEETGREEN,Manhattan,1ST AVE,-73.956574,40.767029
Java Day,Queens,162 street,-73.804276,40.758307
Ample Hills Creamery,Manhattan,Delancey Street,-73.988085,40.718509
Java Day,Queens,162 Street,-73.804276,40.758307
SWEETGREEN,Manhattan,CHAMBERS ST.,-74.008755,40.715309
The Plaza Hotel,Manhattan,Fifth Avenue,-73.973951,40.764155
Bul Inc,Brooklyn,5th avenue,-74.024212,40.625663
Festival Cafe,Manhattan,2nd ave,-73.963584,40.76166
SWEETGREEN,Manhattan,EAST 61 ST.,-73.967551,40.763607
SWEETGREEN,Manhattan,EAST 61 ST.,-73.967551,40.763607
Mulberry & Vine,Brooklyn,Prospect Street,-73.988463,40.700704
Ihop,Brooklyn,Livingston Street,-73.983734,40.68886
Javelina,Manhattan,Second Avenue,-73.958006,40.769305
SWEETGREEN,Brooklyn,COURT ST,-73.992182,40.690047
Sherwoods Keep inc,Queens,205 Cypress Avenue,-73.919855,40.708206
Sherwoods Keep inc,Queens,205 Cypress Avenue,-73.919855,40.708206
SWEETGREEN,Brooklyn,NORTH 4TH ST.,-73.959043,40.715871
Ovenly,Brooklyn,Greenpoint Avenue,-73.959521,40.729704
IL Postino Ristorante,Manhattan,East 49th Street,-73.96801,40.753847
SWEETGREEN,Manhattan,BROADWAY,-73.974027,40.791559
Local,Manhattan,Sullivan Street,-74.001919,40.72703
Characters Bar & Grill,Manhattan,West 54th street,-73.983095,40.764305
SWEETGREEN,Manhattan,BROADWAY,-73.974027,40.791559
gertrude,Manhattan,w 96th st,-73.970674,40.794171
Don Chucho,Staten Island,Forest Ave,-74.127013,40.626836
Hanoi Soup Shop,Manhattan,St. Marks Place,-73.984551,40.727292
EL PAISANITO RESTAURANT CORP,Bronx,ZEREGA AVE,-73.8474,40.837292
Goodfellas  of long island city,Queens,40th Avenue,-73.937811,40.753429
Boubou Restaurant Corp,Brooklyn,86th Street,-74.028036,40.622596
Bien Cuit,Brooklyn,Smith St.,-73.989868,40.687628
Happy house seafood restaurant,Brooklyn,8ave,-74.003866,40.640981
Ihop,Brooklyn,Church avenue,-73.957825,40.650424
Bardolino Pizza II Inc,Manhattan,Amsterdam Avenue,-73.978009,40.783564
El Sason De Mi Abuela Corp,Bronx,Westchester Ave,-73.877169,40.828786
Munch,Brooklyn,Coney Island Ave,-73.965046,40.624052
Monk McGinn's,Manhattan,Murray Street,-74.009747,40.71422
Thai Farm Kitchen Seaport,Manhattan,Peck Slip,-74.001872,40.708143
Fat Buddha,Manhattan,Avenue A,-73.98074,40.729866
Fat Buddha,Manhattan,Avenue A,-73.98074,40.729866
Raj Mahal,Manhattan,E 6th Street,-73.987812,40.727087
Yuzu,Manhattan,Lenox Ave,-73.944261,40.809433
Pink Nori,Queens,30 ave,-73.917241,40.764941
Island Cz Lounge,Brooklyn,Utica Avenue,-73.928857,40.637375
